"Departamento",1940,1961,1972,1981,1993,"2007 a/",2017
,,,,,,,
"Total",6 207 967,9 906 746,13 538 208,17 005 210,22 048 356,27 412 157,29 381 884
,,,,,,,
"Amazonas"," 65 137"," 118 439"," 194 472"," 254 560"," 336 665"," 375 993"," 379 384"
"Áncash 1/"," 428 467"," 586 214"," 732 092"," 826 399"," 955 023",1 063 459,1 083 519
"Apurímac"," 258 094"," 288 223"," 308 613"," 323 346"," 381 997"," 404 190"," 405 759"
"Arequipa"," 263 077"," 388 881"," 529 566"," 706 580"," 916 806",1 152 303,1 382 730
"Ayacucho"," 358 991"," 410 772"," 457 441"," 503 392"," 492 507"," 612 489"," 616 176"
"Cajamarca 1/"," 482 431"," 731 256"," 902 912",1 026 444,1 259 808,1 387 809,1 341 012
"Prov. Const. del Callao 2/"," 82 287"," 213 540"," 321 231"," 443 413"," 639 729"," 876 877"," 994 494"
"Cusco"," 486 592"," 611 972"," 715 237"," 832 504",1 028 763,1 171 403,1 205 527
"Huancavelica"," 244 595"," 302 817"," 331 629"," 346 797"," 385 162"," 454 797"," 347 639"
"Huánuco 1/"," 229 268"," 323 246"," 409 514"," 477 877"," 654 489"," 762 223"," 721 047"
"Ica"," 140 898"," 255 930"," 357 247"," 433 897"," 565 686"," 711 932"," 850 765"
"Junín 1/"," 338 502"," 521 210"," 696 641"," 852 238",1 035 841,1 225 474,1 246 038
"La Libertad 1/"," 395 233"," 597 925"," 799 977"," 982 074",1 270 261,1 617 050,1 778 080
"Lambayeque"," 192 890"," 342 446"," 514 602"," 674 442"," 920 795",1 112 868,1 197 260
"Lima"," 828 298",2 031 051,3 472 564,4 745 877,6 386 308,8 445 211,9 485 405
"Loreto 1/"," 152 457"," 272 933"," 375 007"," 482 829"," 687 282"," 891 732"," 883 510"
"Madre de Dios"," 4 950"," 14 890"," 21 304"," 33 007"," 67 008"," 109 555"," 141 070"
"Moquegua"," 34 152"," 51 614"," 74 470"," 101 610"," 128 747"," 161 533"," 174 863"
"Pasco 1/"," 91 617"," 140 426"," 175 657"," 211 918"," 226 295"," 280 449"," 254 065"
"Piura "," 408 605"," 668 941"," 854 972",1 125 865,1 388 264,1 676 315,1 856 809
"Puno"," 548 371"," 686 260"," 776 173"," 890 258",1 079 849,1 268 441,1 172 697
"San Martín"," 94 843"," 161 763"," 224 427"," 319 751"," 552 387"," 728 808"," 813 381"
"Tacna"," 36 349"," 66 024"," 95 444"," 143 085"," 218 353"," 288 781"," 329 332"
"Tumbes"," 25 709"," 55 812"," 76 515"," 103 839"," 155 521"," 200 306"," 224 863"
"Ucayali 1/"," 16 154"," 64 161"," 120 501"," 163 208"," 314 810"," 432 159"," 496 459"
,,,,,,,
"Provincia de Lima 3/"," 562 885",1 632 370,2 981 292,4 164 597,5 706 127,7 605 742,8 574 974
"Región Lima 4/"," 265 413"," 398 681"," 491 272"," 581 280"," 680 181"," 839 469"," 910 431"
